FIPS,ID
17075,Iroquois_Illinois_UnitedStates
17077,Jackson_Illinois_UnitedStates
17081,Jefferson_Illinois_UnitedStates
17083,Jersey_Illinois_UnitedStates
17085,JoDaviess_Illinois_UnitedStates
17089,Kane_Illinois_UnitedStates
17091,Kankakee_Illinois_UnitedStates
17095,Knox_Illinois_UnitedStates
17097,Lake_Illinois_UnitedStates
17099,LaSalle_Illinois_UnitedStates
17101,Lawrence_Illinois_UnitedStates
17103,Lee_Illinois_UnitedStates
17105,Livingston_Illinois_UnitedStates
17107,Logan_Illinois_UnitedStates
17109,McDonough_Illinois_UnitedStates
17111,McHenry_Illinois_UnitedStates
17113,McLean_Illinois_UnitedStates
17115,Macon_Illinois_UnitedStates
17117,Macoupin_Illinois_UnitedStates
17119,Madison_Illinois_UnitedStates
17121,Marion_Illinois_UnitedStates
17125,Mason_Illinois_UnitedStates
17127,Massac_Illinois_UnitedStates
17131,Mercer_Illinois_UnitedStates
17135,Montgomery_Illinois_UnitedStates
17137,Morgan_Illinois_UnitedStates
17141,Ogle_Illinois_UnitedStates
17143,Peoria_Illinois_UnitedStates
17145,Perry_Illinois_UnitedStates
17147,Piatt_Illinois_UnitedStates
17149,Pike_Illinois_UnitedStates
17157,Randolph_Illinois_UnitedStates
17159,Richland_Illinois_UnitedStates
17161,RockIsland_Illinois_UnitedStates
17165,Saline_Illinois_UnitedStates
17167,Sangamon_Illinois_UnitedStates
17169,Schuyler_Illinois_UnitedStates
17173,Shelby_Illinois_UnitedStates
17177,Stephenson_Illinois_UnitedStates
17179,Tazewell_Illinois_UnitedStates
17181,Union_Illinois_UnitedStates
17183,Vermilion_Illinois_UnitedStates
17185,Wabash_Illinois_UnitedStates
17187,Warren_Illinois_UnitedStates
17189,Washington_Illinois_UnitedStates
17191,Wayne_Illinois_UnitedStates
17195,Whiteside_Illinois_UnitedStates
17197,Will_Illinois_UnitedStates
17199,Williamson_Illinois_UnitedStates
17201,Winnebago_Illinois_UnitedStates
